strand,CpG_Coordinates,`000,`001,`010,`011,`100,`101,`110,`111,Sample_ID,Replicate,Tissue,Total_Reads,p-value
r,8296:8306:8443,1,0,0,0,0,0,0,0,3,Rep2,cfDNA,1,0.028571428571428567
r,8296:8309:8443,1,0,0,0,0,0,0,0,3,Rep2,cfDNA,1,0.028571428571428567
r,8296:8322:8443,1,0,0,0,0,0,0,0,3,Rep2,cfDNA,1,0.028571428571428567
r,8296:8325:8443,1,0,0,0,0,0,0,0,3,Rep2,cfDNA,1,0.028571428571428567
r,8296:8327:8443,1,0,0,0,0,0,0,0,3,Rep2,cfDNA,1,0.028571428571428567
r,8296:8333:8443,1,0,0,0,0,0,0,0,3,Rep2,cfDNA,1,0.028571428571428567
r,8296:8355:8443,1,0,0,0,0,0,0,0,3,Rep2,cfDNA,1,0.028571428571428567
r,8296:8361:8443,1,0,0,0,0,0,0,0,3,Rep2,cfDNA,1,0.028571428571428567
r,8296:8367:8443,1,0,0,0,0,0,0,0,3,Rep2,cfDNA,1,0.028571428571428567
r,8296:8373:8443,1,0,0,0,0,0,0,0,3,Rep2,cfDNA,1,0.028571428571428567
r,8296:8378:8443,1,0,0,0,0,0,0,0,3,Rep2,cfDNA,1,0.028571428571428567
r,8296:8383:8443,1,0,0,0,0,0,0,0,3,Rep2,cfDNA,1,0.028571428571428567
r,8296:8388:8443,1,0,0,0,0,0,0,0,3,Rep2,cfDNA,1,0.028571428571428567
r,8296:8402:8443,1,0,0,0,0,0,0,0,3,Rep2,cfDNA,1,0.028571428571428567
r,8296:8407:8443,1,0,0,0,0,0,0,0,3,Rep2,cfDNA,1,0.028571428571428567
r,8296:8415:8443,1,0,0,0,0,0,0,0,3,Rep2,cfDNA,1,0.028571428571428567
r,8296:8417:8443,1,0,0,0,0,0,0,0,3,Rep2,cfDNA,1,0.028571428571428567
r,8296:8420:8443,1,0,0,0,0,0,0,0,3,Rep2,cfDNA,1,0.028571428571428567
r,7425:7517:7568,1,0,0,0,0,0,0,0,4,Rep2,cfDNA,1,5.551507382695425e-63
r,7425:7517:7568,1,1,0,0,0,0,0,0,5,Rep2,cfDNA,2,5.551507382695425e-63
r,8882:8887:9027,2,0,0,0,0,0,0,0,5,Rep2,cfDNA,2,4.9854673626379095e-08
r,8882:8893:9027,2,0,0,0,0,0,0,0,5,Rep2,cfDNA,2,4.9854673626379095e-08
r,8882:8898:9027,2,0,0,0,0,0,0,0,5,Rep2,cfDNA,2,4.9854673626379095e-08
r,8882:8904:9027,2,0,0,0,0,0,0,0,5,Rep2,cfDNA,2,4.9854673626379095e-08
r,8882:8911:9027,2,0,0,0,0,0,0,0,5,Rep2,cfDNA,2,4.9854673626379095e-08
r,8882:8922:9027,2,0,0,0,0,0,0,0,5,Rep2,cfDNA,2,4.9854673626379095e-08
r,8882:8927:9027,2,0,0,0,0,0,0,0,5,Rep2,cfDNA,2,4.9854673626379095e-08
r,8882:8936:9027,2,0,0,0,0,0,0,0,5,Rep2,cfDNA,2,4.9854673626379095e-08
r,8882:8958:9027,2,0,0,0,0,0,0,0,5,Rep2,cfDNA,2,4.9854673626379095e-08
r,8882:8969:9027,2,0,0,0,0,0,0,0,5,Rep2,cfDNA,2,4.9854673626379095e-08
r,8882:8972:9027,2,0,0,0,0,0,0,0,5,Rep2,cfDNA,2,4.9854673626379095e-08
r,8882:8976:9027,2,0,0,0,0,0,0,0,5,Rep2,cfDNA,2,4.9854673626379095e-08
r,8882:8994:9027,2,0,0,0,0,0,0,0,5,Rep2,cfDNA,2,4.9854673626379095e-08
r,8882:8996:9027,2,0,0,0,0,0,0,0,5,Rep2,cfDNA,2,4.9854673626379095e-08
r,8882:9002:9027,2,0,0,0,0,0,0,0,5,Rep2,cfDNA,2,4.9854673626379095e-08
r,7425:7517:7568,1,0,0,0,0,0,0,0,6,Rep2,cfDNA,1,5.551507382695425e-63
r,8857:8867:9002,2,0,0,0,0,0,0,0,7,Rep2,cfDNA,2,1.922965982731765e-07
r,8857:8871:9002,2,0,0,0,0,0,0,0,7,Rep2,cfDNA,2,1.922965982731765e-07
r,8857:8873:9002,2,0,0,0,0,0,0,0,7,Rep2,cfDNA,2,1.922965982731765e-07
r,8857:8882:9002,2,0,0,0,0,0,0,0,7,Rep2,cfDNA,2,1.922965982731765e-07
r,8857:8887:9002,2,0,0,0,0,0,0,0,7,Rep2,cfDNA,2,1.922965982731765e-07
r,8857:8893:9002,2,0,0,0,0,0,0,0,7,Rep2,cfDNA,2,1.922965982731765e-07
r,8857:8898:9002,2,0,0,0,0,0,0,0,7,Rep2,cfDNA,2,1.922965982731765e-07
r,8857:8904:9002,2,0,0,0,0,0,0,0,7,Rep2,cfDNA,2,1.922965982731765e-07
r,8857:8911:9002,2,0,0,0,0,0,0,0,7,Rep2,cfDNA,2,1.922965982731765e-07
r,8857:8922:9002,2,0,0,0,0,0,0,0,7,Rep2,cfDNA,2,1.922965982731765e-07
r,8857:8927:9002,2,0,0,0,0,0,0,0,7,Rep2,cfDNA,2,1.922965982731765e-07
r,8857:8936:9002,2,0,0,0,0,0,0,0,7,Rep2,cfDNA,2,1.922965982731765e-07
r,8857:8958:9002,2,0,0,0,0,0,0,0,7,Rep2,cfDNA,2,1.922965982731765e-07
r,8857:8969:9002,2,0,0,0,0,0,0,0,7,Rep2,cfDNA,2,1.922965982731765e-07
r,8857:8972:9002,2,0,0,0,0,0,0,0,7,Rep2,cfDNA,2,1.922965982731765e-07
r,8857:8976:9002,2,0,0,0,0,0,0,0,7,Rep2,cfDNA,2,1.922965982731765e-07
r,8857:8994:9002,2,0,0,0,0,0,0,0,7,Rep2,cfDNA,2,1.922965982731765e-07
r,8857:8996:9002,2,0,0,0,0,0,0,0,7,Rep2,cfDNA,2,1.922965982731765e-07
r,8882:8887:9027,1,0,0,0,0,0,0,0,8,Rep2,cfDNA,1,4.9854673626379095e-08
r,8882:8893:9027,1,0,0,0,0,0,0,0,8,Rep2,cfDNA,1,4.9854673626379095e-08
r,8882:8898:9027,1,0,0,0,0,0,0,0,8,Rep2,cfDNA,1,4.9854673626379095e-08
r,8882:8904:9027,1,0,0,0,0,0,0,0,8,Rep2,cfDNA,1,4.9854673626379095e-08
r,8882:8911:9027,1,0,0,0,0,0,0,0,8,Rep2,cfDNA,1,4.9854673626379095e-08
r,8882:8922:9027,1,0,0,0,0,0,0,0,8,Rep2,cfDNA,1,4.9854673626379095e-08
r,8882:8927:9027,1,0,0,0,0,0,0,0,8,Rep2,cfDNA,1,4.9854673626379095e-08
r,8882:8936:9027,1,0,0,0,0,0,0,0,8,Rep2,cfDNA,1,4.9854673626379095e-08
r,8882:8958:9027,1,0,0,0,0,0,0,0,8,Rep2,cfDNA,1,4.9854673626379095e-08
r,8882:8969:9027,1,0,0,0,0,0,0,0,8,Rep2,cfDNA,1,4.9854673626379095e-08
r,8882:8972:9027,1,0,0,0,0,0,0,0,8,Rep2,cfDNA,1,4.9854673626379095e-08
r,8882:8976:9027,1,0,0,0,0,0,0,0,8,Rep2,cfDNA,1,4.9854673626379095e-08
r,8882:8994:9027,1,0,0,0,0,0,0,0,8,Rep2,cfDNA,1,4.9854673626379095e-08
r,8882:8996:9027,1,0,0,0,0,0,0,0,8,Rep2,cfDNA,1,4.9854673626379095e-08
r,8882:9002:9027,1,0,0,0,0,0,0,0,8,Rep2,cfDNA,1,4.9854673626379095e-08
r,8589:8591:8736,1,0,0,0,0,0,0,0,10,Rep2,cfDNA,1,1.0913312529929466e-18
r,8589:8595:8736,1,0,0,0,0,0,0,0,10,Rep2,cfDNA,1,1.0913312529929466e-18
r,8589:8598:8736,1,0,0,0,0,0,0,0,10,Rep2,cfDNA,1,1.0913312529929466e-18
r,8589:8602:8736,1,0,0,0,0,0,0,0,10,Rep2,cfDNA,1,1.0913312529929466e-18
r,8589:8607:8736,1,0,0,0,0,0,0,0,10,Rep2,cfDNA,1,1.0913312529929466e-18
r,8589:8620:8736,1,0,0,0,0,0,0,0,10,Rep2,cfDNA,1,1.0913312529929466e-18
r,8589:8628:8736,1,0,0,0,0,0,0,0,10,Rep2,cfDNA,1,1.0913312529929466e-18
r,8589:8632:8736,1,0,0,0,0,0,0,0,10,Rep2,cfDNA,1,1.0913312529929466e-18
r,8589:8635:8736,1,0,0,0,0,0,0,0,10,Rep2,cfDNA,1,1.0913312529929466e-18
r,8589:8638:8736,1,0,0,0,0,0,0,0,10,Rep2,cfDNA,1,1.0913312529929466e-18
r,8589:8641:8736,1,0,0,0,0,0,0,0,10,Rep2,cfDNA,1,1.0913312529929466e-18
r,8589:8643:8736,1,0,0,0,0,0,0,0,10,Rep2,cfDNA,1,1.0913312529929466e-18
r,8589:8649:8736,1,0,0,0,0,0,0,0,10,Rep2,cfDNA,1,1.0913312529929466e-18
r,8589:8658:8736,1,0,0,0,0,0,0,0,10,Rep2,cfDNA,1,1.0913312529929466e-18
r,8589:8667:8736,1,0,0,0,0,0,0,0,10,Rep2,cfDNA,1,1.0913312529929466e-18
r,8589:8682:8736,1,0,0,0,0,0,0,0,10,Rep2,cfDNA,1,1.0913312529929466e-18
r,8589:8684:8736,1,0,0,0,0,0,0,0,10,Rep2,cfDNA,1,1.0913312529929466e-18
r,8589:8692:8736,1,0,0,0,0,0,0,0,10,Rep2,cfDNA,1,1.0913312529929466e-18
r,8589:8706:8736,1,0,0,0,0,0,0,0,10,Rep2,cfDNA,1,1.0913312529929466e-18
